"";"genome_id"
"1";"1970458.3"
"2";"1970460.3"
"3";"1970463.3"
"4";"1970462.3"
"5";"1970459.3"
"6";"1970457.3"
"7";"1970456.3"
"8";"1970466.3"
"11";"1970461.3"
"12";"1970468.3"
"15";"1970467.3"
"18";"1970469.3"
"21";"1970464.3"
"22";"1981875.3"
"23";"2044482.3"
"50";"1118055.3"
"51";"2044485.3"
"77";"2053186.3"
"79";"279143.3"
"81";"279144.3"
"83";"1166016.3"
"87";"1220705.6"
"89";"1224140.3"
"90";"1522307.3"
"91";"1606016.6"
"93";"1606016.14"
"94";"1581105.3"
"96";"1606016.4"
"98";"1581052.3"
"100";"1462439.3"
"101";"1606016.7"
"103";"1606016.9"
"105";"1606016.5"
"107";"1606016.8"
"109";"1656095.3"
"119";"1697390.4"
"150";"1715259.3"
"160";"1697390.3"
"185";"1697390.5"
"216";"1697390.7"
"241";"1697391.3"
"270";"1697390.6"
"301";"1697390.8"
"327";"1739276.3"
"329";"469587.3"
"331";"469586.3"
"333";"1739443.3"
"335";"1739526.3"
"337";"469596.3"
"340";"469608.3"
"355";"469595.8"
"372";"469595.3"
"394";"469598.5"
"433";"556262.3"
"436";"502063.3"
"437";"546899.3"
"438";"1217696.3"
"440";"1217695.3"
"443";"563191.3"
"444";"935543.3"
"445";"903916.3"
"451";"585494.3"
"467";"903917.3"
"477";"992011.3"
"479";"992010.3"
"482";"657310.3"
"483";"995020.3"
"484";"658664.3"
"487";"675810.3"
"488";"665938.3"
"491";"697046.3"
"492";"665948.3"
"527";"702953.3"
"528";"702959.3"
"529";"697871.4"
"535";"702969.3"
"536";"861530.3"
"537";"86662.17"
"540";"745713.3"
"542";"86662.30"
"544";"86662.23"
"546";"86662.26"
"548";"86662.24"
"550";"86662.34"
"552";"86662.29"
"554";"86662.35"
"556";"86662.25"
"558";"86662.31"
"560";"86662.32"
"562";"86662.41"
"564";"86662.27"
"566";"86662.28"
"568";"86662.43"
"569";"86662.33"
"571";"86662.40"
"574";"86662.45"
"575";"86662.44"
"576";"86662.6"
"577";"319938.3"
"580";"86662.54"
"581";"284037.3"
"583";"285533.3"
"584";"439853.5"
"610";"439853.4"
"640";"1756148.3"
"642";"439853.3"
"668";"1873418.3"
"670";"1873419.3"
"672";"1909451.3"
"673";"1909452.3"
"674";"1909443.3"
"675";"1909476.3"
"676";"1909454.3"
"677";"1909463.3"
"678";"1909671.4"
"682";"1909480.3"
"684";"1909470.3"
"685";"1888165.3"
"686";"1933894.3"
"687";"1914994.3"
"692";"1341639.3"
"696";"1385593.3"
"698";"287.2490"
"734";"287.2488"
"767";"287.2487"
"803";"287.2489"
"838";"287.2496"
"873";"287.2498"
"912";"287.2495"
"947";"287.2494"
"986";"287.2497"
"1024";"287.2492"
"1064";"287.2491"
"1104";"287.2493"
"1140";"287.2499"
"1176";"287.2500"
"1211";"287.2501"
"1252";"287.2507"
"1288";"287.2506"
"1327";"287.2502"
"1370";"287.2509"
"1406";"287.2505"
"1444";"287.2504"
"1480";"287.2503"
"1516";"287.2511"
"1552";"287.2508"
"1585";"287.2510"
"1625";"287.2513"
"1660";"287.2512"
"1695";"287.2514"
"1729";"287.2515"
"1765";"287.2516"
"1801";"287.2517"
"1841";"287.2519"
"1881";"287.2518"
"1918";"287.2521"
"1956";"287.2520"
"1996";"287.2522"
"2034";"287.2525"
"2074";"287.2529"
"2099";"287.2523"
"2139";"287.2524"
"2175";"287.2531"
"2210";"287.2528"
"2245";"287.2526"
"2280";"287.2527"
"2317";"287.2533"
"2355";"287.2530"
"2390";"287.2534"
"2429";"287.2536"
"2469";"287.2535"
"2509";"287.2532"
"2545";"287.2573"
"2578";"287.2541"
"2605";"287.2540"
"2646";"287.2574"
"2679";"287.2539"
"2712";"287.2572"
"2745";"287.2576"
"2778";"287.2581"
"2814";"287.2575"
"2847";"287.2584"
"2883";"287.2585"
"2919";"287.2587"
"2956";"287.2582"
"2991";"287.2590"
"3025";"287.2588"
"3061";"287.2589"
"3097";"287.2583"
"3134";"287.2591"
"3169";"287.2586"
"3205";"287.2593"
"3240";"287.2592"
"3275";"287.2594"
"3314";"287.2597"
"3349";"287.2598"
"3385";"287.2596"
"3420";"287.2595"
"3453";"287.2601"
"3487";"287.2599"
"3523";"287.2600"
"3559";"287.2605"
"3594";"287.2613"
"3628";"287.2603"
"3662";"287.2602"
"3696";"287.2614"
"3731";"287.2610"
"3765";"287.2612"
"3798";"287.2609"
"3832";"287.2604"
"3867";"287.2607"
